REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,GHGRP ID,REPORTED ADDRESS
2020,Hardee Power Station,27.6364,-81.9636,BOWLING GREEN,Hardee,FL,33834,HARDEE POWER PARTNERS LTD (51%); MARUBENI AMERICA CORP (49%),405443,"C,D",1001254,6695 COUNTY ROAD 663 N
2020,Hardin County Peaking Facility,30.3039,-94.2527,KOUNTZE,Hardin,TX,77625,EAST TEXAS ELECTRIC COOPERATIVE INC (100%),63636,"C,D",1000530,7 MI SOUTHEAST OF KOUNTZE
2020,Hardin Generating Station,45.7578,-107.6,HARDIN,Big Horn,MT,59034,HEOROT POWER HOLDINGS LLC (100%),73045,"C,D",1000157,RT 1 BX 1144A SUGAR FACTORY RD
2020,Harding Street Station (EW Stout),39.7119,-86.1975,INDIANAPOLIS,Marion,IN,46217,AES CORP (100%),974008,"C,D",1001533,3700 SOUTH HARDING ST
2020,Hargis-Hebert Electric Generating Statio,30.1694,-91.9923,LAFAYETTE,Lafayette,LA,70508,LAFAYETTE CITY PARISH CONSOLIDATED GOVERNMENT (100%),13359,"C,D",1007327,300 BEAU PRE ROAD
2020,Harlem River Yard,40.7989,-73.9147,BRONX,Bronx,NY,10454,NEW YORK POWER AUTHORITY (100%),33111,"C,D",1000116,680 780E 132ND ST
2020,Harquahala Generating Company,33.4759,-113.1133,TONOPAH,Maricopa,AZ,85354,KELSON ENERGY (100%),0,D,1000100,2530 NORTH 491 AVE
2020,Harrington Station,35.2972,-101.7475,AMARILLO,Potter,TX,79108,XCEL ENERGY INC (100%),3343224,D,1001042,8400 N LAKESIDE DR
2020,Harrison County Power Project,32.3958,-94.4361,MARSHALL,Harrison,TX,75670,NORTHEAST TEXAS ELECTRIC COOPERATIVE (55%); EAST TEXAS ELECTRIC COOPERATIVE INC (45%),1139205,D,1000145,12039 SH 43 SOUTH
2020,Harrison Power Station,39.3844,-80.3325,HAYWOOD,Harrison,WV,26366,FIRSTENERGY CORP (100%),9741068,"C,D",1007793,ROUTE 20
2020,Harry Allen,36.425,-114.9,LAS VEGAS,Clark,NV,89124,BERKSHIRE HATHAWAY INC (100%),1372492,D,1006804,14601 NORTH LAS VEGAS BLVD
2020,Harry D. Mattison Power Plant,36.1855,-94.2841,TONTITOWN,Washington,AR,72762,AMERICAN ELECTRIC POWER CO INC (100%),36995,D,1000487,3046 West Liberty Avenue
